 bitcoin 
 BTC 
 ethereum 
 ETH 
 ripple 
 XRP 
 bitcoin cash 
 BCH 
 cardano 
 ADA 
 litecoin 
 LTC 
 nem 
 XEM 
 neo 
 NEO 
 stellar 
 XLM 
 iota 
 MIOTA 
 eos 
 EOS 
 dash 
 DASH 
 monero 
 XMR 
 tron 
 TRX 
 bitcoin gold 
 BTG 
 ethereum classic 
 ETC 
 qtum 
 QTUM 
 icon 
 ICX 
 lisk 
 LSK 
 raiblocks 
 XRB 
 omisego 
 OMG 
 ardor 
 ARDR 
 stratis 
 STRAT 
 zcash 
 ZEC 
 binance coin 
 BNB 
 siacoin 
 SC 
 bytecoin bcn 
 BCN 
 verge 
 XVG 
 vechain 
 VEN 
 populous 
 PPT 
 tether 
 USDT 
 bitconnect 
 BCC 
 status 
 SNT 
 bitshares 
 BTS 
 steem 
 STEEM 
 kucoin shares 
 KCS 
 dogecoin 
 DOGE 
 waves 
 WAVES 
 augur 
 REP 
 0x 
 ZRX 
 komodo 
 KMD 
 digibyte 
 DGB 
 gas 
 GAS 
 veritaseum 
 VERI 
 dragonchain 
 DRGN 
 golem network tokens 
 GNT 
 qash 
 QASH 
 electroneum 
 ETN 
 ark 
 ARK 
 hshare 
 HSR 
 smartcash 
 SMART 
 decred 
 DCR 
 wax 
 WAX 
 dentacoin 
 DCN 
 basic attention token 
 BAT 
 loopring 
 LRC 
 pivx 
 PIVX 
 zclassic 
 ZCL 
 salt 
 SALT 
 kyber network 
 KNC 
 walton 
 WTC 
 byteball 
 GBYTE 
 factom 
 FCT 
 aion 
 AION 
 monacoin 
 MONA 
 funfair 
 FUN 
 bytom 
 BTM 
 ethos 
 ETHOS 
 maidsafecoin 
 MAID 
 experience points 
 XP 
 power ledger 
 POWR 
 dent 
 DENT 
 syscoin 
 SYS 
 gxshares 
 GXS 
 substratum 
 SUB 
 gamecredits 
 GAME 
 reddcoin 
 RDD 
 nxt 
 NXT 
 aeternity 
 AE 
 request network 
 REQ 
 kin 
 KIN 
 enigma project 
 ENG 
 rchain 
 RHOC 
 medibloc 
 MED 
 digixdao 
 DGD 
 nexus 
 NXS 
 particl 
 PART 
 bancor 
 BNT 
 nebulas token 
 NAS 
 tenx 
 PAY 
 zcoin 
 XZC 
 aelf 
 ELF 
 iconomi 
 ICN 
 gnosis gno 
 GNO 
 civic 
 CVC 
 digitalnote 
 XDN 
 chainlink 
 LINK 
 bitcore 
 BTX 
 emercoin 
 EMC 
 xplay 
 XPA 
